slug,theme,title,formula,base,dataset,weight,kind,domain,unit,agencies,headline,headline_order,sex_age_of,edu_emp_of,source
acceptance_as_spouse,Social Cohesion,Would accept the other ethnicity as a spouse (UNDP),% of respondents interviewed who would accept the other ethnicity as a spouse or marriage partner (agree or strongly agree),Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
acceptance_as_neighbours,Social Cohesion,Would accept the other ethnicity as neighbours (UNDP),% of respondents interviewed who would accept the other ethnicity as neighbours (agree or strongly agree),Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,Yes,6,respondent,respondent,UNDP
acceptance_as_close_friends,Social Cohesion,Would accept the other ethnicity as close friends (UNDP),% of respondents interviewed who would accept the other ethnicity as close friends (agree or strongly agree),Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
acceptance_as_co_workers,Social Cohesion,Would accept the other ethnicity as co-workers (UNDP),% of respondents interviewed who would accept the other ethnicity as co-workers (agree or strongly agree),Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
social_distance_score_closest_accepted_r,Social Cohesion,Closest accepted relationship with the other ethnicity (UNDP),"Among respondents interviewed: average closest relationship accepted with someone from the other ethnicity (1=spouse, 2=friend, 3=neighbour, 4=co-worker, 5=none). Neither counts as No.",Respondents interviewed with valid answers on all four relationship items,individual,indweight_m3_final,mean,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
bribes_never_necessary_with_police,Governance,Bribes never necessary with police (UNDP),% of respondents interviewed who say bribes are never necessary when dealing with the police,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
bribes_never_necessary_for_official_docu,Governance,Bribes never necessary for official documents (UNDP),% of respondents interviewed who say bribes are never necessary to obtain official documents,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
bribes_never_necessary_for_medical_treat,Governance,Bribes never necessary for medical treatment (UNDP),% of respondents interviewed who say bribes are never necessary to get medical treatment,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
bribes_never_necessary_for_school_servic,Governance,Bribes never necessary for school services (UNDP),% of respondents interviewed who say bribes are never necessary for school services,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
women_have_money_of_their_own,Women's Empowerment,Women with financial independence (UNDP),% of female respondents interviewed who have money of their own that they alone decide how to use,Female respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Female respondents interviewed,UNDP,Yes,7,respondent,respondent,UNDP
women_make_spending_decisions_themselves,Women's Empowerment,Women with financial autonomy (UNDP),% of female respondents interviewed who have money of their own and decide mostly alone how to spend it,Female respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Female respondents interviewed,UNDP,,,respondent,respondent,UNDP
makes_ends_meet_with_difficulty,Economic Security,"Household makes ends meet with difficulty (UNDP, FRA)",% of household members living in a household that makes ends meet with difficulty or great difficulty,All members of surveyed households,member,hhweight_final,binary,living conditions,All members of surveyed households,"UNDP, FRA",Yes,5,person,household head,UNDP
months_household_can_live_off_savings,Economic Security,Months household can live off savings (UNDP),Among households: weighted average number of months the household could live off savings if income stopped,Surveyed households with a valid months-of-savings answer; don't know and refused excluded,household,hhweight_final,mean,living conditions,Surveyed households,UNDP,,,household head,household head,UNDP
no_emergency_funding_source,Economic Security,No emergency funding source (UNDP),% of respondents interviewed who could turn to no one for emergency funding,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
own_savings_as_emergency_source,Economic Security,Own savings as emergency source (UNDP),% of respondents interviewed who would use own savings as the main emergency funding source,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
smartphone_ownership,Digital Inclusion,Smartphone ownership (UNDP),% of respondents interviewed who personally own a smartphone,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
internet_access_at_home,Digital Inclusion,Personal internet access at home (UNDP),% of respondents interviewed who have internet access at home for personal use,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
can_buy_something_for_themselves,Material Deprivation,Can buy something for themselves (UNDP),% of respondents interviewed who can spend a small amount of money on themselves each week,Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
child_enrolled_in_daycare,Early Childhood,Child enrolled in daycare (UNDP),% of household members aged 0–5 enrolled in organised daycare or preschool,"All children in the surveyed households, who are aged 0–5 with a valid enrolment answer; don't know and refused excluded",member,hhweight_final,binary,education,All children in the surveyed households,UNDP,Yes,3,person,household head,UNDP
daycare_too_expensive,Early Childhood,Daycare too expensive (UNDP),% of household members who are non-enrolled children aged 0–5 for whom daycare is too expensive,"All children in the surveyed households, who are aged 0–5 and not enrolled in daycare",member,hhweight_final,binary,education,All children in the surveyed households,UNDP,,,person,household head,UNDP
no_daycare_nearby,Early Childhood,No daycare nearby (UNDP),% of household members who are non-enrolled children aged 0–5 for whom no daycare is available nearby,"All children in the surveyed households, who are aged 0–5 and not enrolled in daycare",member,hhweight_final,binary,education,All children in the surveyed households,UNDP,,,person,household head,UNDP
environmental_health_consequences,Environment,Environmental health consequences (UNDP),% of household members living in a household that reports health consequences from environmental problems,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,health,All members of surveyed households,UNDP,Yes,5,person,household head,UNDP
affected_by_floods_mudslides,Environment,Affected by floods/mudslides (UNDP),"% of households somewhat or very much affected by floods, mudflows or landslides",Surveyed households; don't know and refused excluded,household,hhweight_final,binary,living conditions,Surveyed households,UNDP,,,household head,household head,UNDP
would_consider_moving_again,Migration,Migration intent (UNDP),% of respondents interviewed who would consider moving (again),Respondents interviewed; don't know and refused excluded,individual,indweight_m3_final,binary,living conditions,Respondents interviewed,UNDP,,,respondent,respondent,UNDP
refugee_displaced_due_to_conflict,Migration,Refugee/displaced due to conflict (UNDP),% of household members living in a household with members who are refugees or internally displaced because of conflict,All members of surveyed households; don't know and refused excluded,member,hhweight_final,binary,living conditions,All members of surveyed households,UNDP,,,person,household head,UNDP
household_had_self_employment_income,Livelihoods,Household received self-employment income (UNDP),% of households that received self-employment income,Surveyed households; don't know and refused excluded,household,hhweight_final,binary,work and employment,Surveyed households,UNDP,Yes,4,household head,household head,UNDP
produces_vegetables_for_own_consumption,Livelihoods,Produces vegetables for own consumption (UNDP),% of households that produce vegetables for their own consumption,Surveyed households; don't know and refused excluded,household,hhweight_final,binary,work and employment,Surveyed households,UNDP,,,household head,household head,UNDP
disability_pension_recipients,Social Protection,Disability pension recipients (UNDP),% of households that receive a disability pension,"Surveyed households; don't know and refused on pension receipt (and type, if asked) excluded",household,hhweight_final,binary,living conditions,Surveyed households,UNDP,,,household head,household head,UNDP
child_family_benefit_recipients,Social Protection,Child/family benefit recipients (UNDP),% of households that receive child or family benefits,"Surveyed households; don't know and refused on social assistance (and type, if asked) excluded",household,hhweight_final,binary,living conditions,Surveyed households,UNDP,,,household head,household head,UNDP
last_resort_assistance_recipients,Social Protection,Last-resort assistance recipients (UNDP),% of households that receive last-resort assistance,"Surveyed households; don't know and refused on social assistance (and type, if asked) excluded",household,hhweight_final,binary,living conditions,Surveyed households,UNDP,,,household head,household head,UNDP
educational_attainment,Education,Undereducated member in the household (UNDP),% of household members living in a household where at least one adult aged 18–65 has not completed secondary education,All members of surveyed households; household is deprived if any qualifying member has below-secondary education,member,hhweight_final,binary,education,All members of surveyed households,UNDP,,,person,household head,UNDP MPI
completed_secondary_education_ages_18_65,Education,"Completed secondary education, ages 18–65 (UNDP)","% of household members aged 18–65 who have completed secondary education (same A9 cut as FRA EDUMAX, wider age)",All members of surveyed households aged 18–65 with a valid education answer,member,hhweight_final,binary,education,All members of surveyed households,UNDP,Yes,1,person,person,UNDP MPI
